date,machine_name,region_id,sex,sdi,baseline_days,status,uid,death_date
2017-03-21,ETHOSCOPE_047,1,F,10,3,OK,1,2017-04-20
2017-03-21,ETHOSCOPE_047,2,F,0,3,OK,2,2017-04-20
2017-03-21,ETHOSCOPE_047,3,F,10,3,OK,3,2017-04-18
2017-03-21,ETHOSCOPE_047,4,F,0,3,OK,4,2017-04-17
2017-03-21,ETHOSCOPE_047,5,F,10,3,OK,5,2017-04-24
2017-03-21,ETHOSCOPE_047,6,F,0,3,OK,6,2017-04-23
2017-03-21,ETHOSCOPE_047,7,F,10,3,OK,7,Inf
2017-03-21,ETHOSCOPE_047,8,F,0,3,OK,8,2017-04-22
2017-03-21,ETHOSCOPE_047,9,F,10,3,OK,9,2017-04-17
2017-03-21,ETHOSCOPE_047,10,F,0,3,OK,10,2017-04-20
2017-03-21,ETHOSCOPE_047,11,F,0,3,OK,11,2017-04-20
2017-03-21,ETHOSCOPE_047,12,F,10,3,OK,12,2017-04-11
2017-03-21,ETHOSCOPE_047,13,F,0,3,OK,13,2017-04-27
2017-03-21,ETHOSCOPE_047,14,F,10,3,tube_not_moving,14,2017-04-20
2017-03-21,ETHOSCOPE_047,15,F,0,3,OK,15,2017-04-16
2017-03-21,ETHOSCOPE_047,16,F,10,3,dry_food_kill_fly,16,NA
2017-03-21,ETHOSCOPE_047,17,F,0,3,OK,17,2017-04-15
2017-03-21,ETHOSCOPE_047,18,F,10,3,OK,18,2017-04-16
2017-03-21,ETHOSCOPE_047,19,F,0,3,OK,19,2017-04-17
2017-03-21,ETHOSCOPE_047,20,F,10,3,OK,20,2017-04-20
2017-03-21,ETHOSCOPE_027,1,M,10,3,OK,21,2017-04-14
2017-03-21,ETHOSCOPE_027,2,M,0,3,OK,22,2017-04-24
2017-03-21,ETHOSCOPE_027,3,M,10,3,OK,23,2017-04-14
2017-03-21,ETHOSCOPE_027,4,M,0,3,OK,24,2017-04-18
2017-03-21,ETHOSCOPE_027,5,M,10,3,OK,25,2017-04-20
2017-03-21,ETHOSCOPE_027,6,M,0,3,OK,26,2017-04-22
2017-03-21,ETHOSCOPE_027,7,M,10,3,OK,27,2017-04-24
2017-03-21,ETHOSCOPE_027,8,M,0,3,OK,28,2017-04-16
2017-03-21,ETHOSCOPE_027,9,M,10,3,OK,29,2017-04-26
2017-03-21,ETHOSCOPE_027,10,M,0,3,OK,30,2017-04-22
2017-03-21,ETHOSCOPE_027,11,M,0,3,OK,31,2017-04-18
2017-03-21,ETHOSCOPE_027,12,M,10,3,OK,32,2017-04-17
2017-03-21,ETHOSCOPE_027,13,M,0,3,OK,33,2017-04-24
2017-03-21,ETHOSCOPE_027,14,M,10,3,OK,34,2017-04-22
2017-03-21,ETHOSCOPE_027,15,M,0,3,OK,35,2017-04-21
2017-03-21,ETHOSCOPE_027,16,M,10,3,OK,36,2017-04-17
2017-03-21,ETHOSCOPE_027,17,M,0,3,OK,37,2017-04-17
2017-03-21,ETHOSCOPE_027,18,M,10,3,OK,38,2017-04-15
2017-03-21,ETHOSCOPE_027,19,M,0,3,OK,39,2017-04-22
2017-03-21,ETHOSCOPE_027,20,M,10,3,OK,40,2017-04-19
2017-03-21,ETHOSCOPE_018,1,M,10,3,OK,41,2017-04-24
2017-03-21,ETHOSCOPE_018,2,M,0,3,OK,42,2017-04-07
2017-03-21,ETHOSCOPE_018,3,M,10,3,OK,43,2017-04-21
2017-03-21,ETHOSCOPE_018,4,M,0,3,OK,44,2017-04-19
2017-03-21,ETHOSCOPE_018,5,M,10,3,OK,45,2017-04-21
2017-03-21,ETHOSCOPE_018,6,M,0,3,OK,46,2017-04-21
2017-03-21,ETHOSCOPE_018,7,M,10,3,OK,47,Inf
2017-03-21,ETHOSCOPE_018,8,M,0,3,OK,48,2017-04-24
2017-03-21,ETHOSCOPE_018,9,M,10,3,OK,49,2017-04-18
2017-03-21,ETHOSCOPE_018,10,M,0,3,OK,50,2017-04-22
2017-03-21,ETHOSCOPE_018,11,M,0,3,OK,51,2017-04-24
2017-03-21,ETHOSCOPE_018,12,M,10,3,OK,52,Inf
2017-03-21,ETHOSCOPE_018,13,M,0,3,OK,53,2017-04-17
2017-03-21,ETHOSCOPE_018,14,M,10,3,OK,54,2017-04-27
2017-03-21,ETHOSCOPE_018,15,M,0,3,OK,55,2017-04-17
2017-03-21,ETHOSCOPE_018,16,M,10,3,OK,56,2017-04-24
2017-03-21,ETHOSCOPE_018,17,M,0,3,OK,57,2017-04-14
2017-03-21,ETHOSCOPE_018,18,M,10,3,OK,58,2017-04-25
2017-03-21,ETHOSCOPE_018,19,M,0,3,OK,59,2017-04-26
2017-03-21,ETHOSCOPE_018,20,M,10,3,tube_not_rotating,60,2017-04-20
2017-03-21,ETHOSCOPE_040,1,F,10,3,OK,61,2017-04-21
2017-03-21,ETHOSCOPE_040,2,F,0,3,OK,62,2017-04-21
2017-03-21,ETHOSCOPE_040,3,F,10,3,OK,63,2017-04-20
2017-03-21,ETHOSCOPE_040,4,F,0,3,OK,64,2017-04-19
2017-03-21,ETHOSCOPE_040,5,F,10,3,OK,65,2017-04-14
2017-03-21,ETHOSCOPE_040,6,F,0,3,OK,66,2017-04-19
2017-03-21,ETHOSCOPE_040,7,F,10,3,OK,67,2017-04-19
2017-03-21,ETHOSCOPE_040,8,F,0,3,OK,68,2017-04-17
2017-03-21,ETHOSCOPE_040,9,F,10,3,OK,69,2017-04-23
2017-03-21,ETHOSCOPE_040,10,F,0,3,OK,70,2017-04-23
2017-03-21,ETHOSCOPE_040,11,F,0,3,OK,71,2017-04-21
2017-03-21,ETHOSCOPE_040,12,F,10,3,OK,72,2017-04-20
2017-03-21,ETHOSCOPE_040,13,F,0,3,OK,73,Inf
2017-03-21,ETHOSCOPE_040,14,F,10,3,OK,74,2017-04-20
2017-03-21,ETHOSCOPE_040,15,F,0,3,OK,75,2017-04-25
2017-03-21,ETHOSCOPE_040,16,F,10,3,OK,76,2017-04-22
2017-03-21,ETHOSCOPE_040,17,F,0,3,OK,77,2017-04-24
2017-03-21,ETHOSCOPE_040,18,F,10,3,OK,78,2017-04-20
2017-03-21,ETHOSCOPE_040,19,F,0,3,OK,79,2017-04-20
2017-03-21,ETHOSCOPE_040,20,F,10,3,OK,80,2017-04-21
2017-03-21,ETHOSCOPE_052,1,M,10,3,OK,81,2017-04-19
2017-03-21,ETHOSCOPE_052,2,M,0,3,OK,82,2017-04-21
2017-03-21,ETHOSCOPE_052,3,M,10,3,OK,83,2017-04-13
2017-03-21,ETHOSCOPE_052,4,M,0,3,OK,84,Inf
2017-03-21,ETHOSCOPE_052,5,M,10,3,OK,85,2017-04-20
2017-03-21,ETHOSCOPE_052,6,M,0,3,OK,86,2017-04-20
2017-03-21,ETHOSCOPE_052,7,M,10,3,OK,87,2017-04-21
2017-03-21,ETHOSCOPE_052,8,M,0,3,OK,88,2017-04-21
2017-03-21,ETHOSCOPE_052,9,M,10,3,OK,89,2017-04-09
2017-03-21,ETHOSCOPE_052,10,M,0,3,OK,90,2017-04-15
2017-03-21,ETHOSCOPE_052,11,M,0,3,OK,91,2017-04-19
