date,machine_name,region_id,sdi,genotype,temp,sex,baseline_days,SD_start,flipping,incubator,status,death_date,dead_during_xp
2017-10-16,ETHOSCOPE_031,1,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,2,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,3,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,4,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,5,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,6,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,7,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,8,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,9,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,10,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,11,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,no_fly,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,12,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,no_fly,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,13,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,14,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,15,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,16,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,17,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,18,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,19,0,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_031,20,10,fumin,25C,F,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,1,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,2,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,3,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,4,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,5,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,6,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,7,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,8,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,9,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,10,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,11,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,12,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,13,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,14,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,15,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,16,10,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_047,17,0,fumin,25C,M,3,2017-10-19,2017-10-24,8,OK,2018-10-16,FALSE
