date,machine_name,region_id,genotype,sex,treatment,temp,SD_start,baseline,incubator,exp,fly_obs,unique_ID,week_death,region_id,sensor,inc_obs,inc_crash,days_alive
2018-03-05,ETHOSCOPE_033,1,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,1,16-4,1,F,ok,no,35.5
2018-03-05,ETHOSCOPE_033,2,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,2,16-4,2,F,ok,no,39.5
2018-03-05,ETHOSCOPE_033,3,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,3,2-4,3,F,ok,no,21.5
2018-03-05,ETHOSCOPE_033,4,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,4,16-4,4,F,ok,no,38.5
2018-03-05,ETHOSCOPE_033,5,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,5,16-4,5,F,ok,no,39
2018-03-05,ETHOSCOPE_033,6,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,6,16-4,6,F,ok,no,36
2018-03-05,ETHOSCOPE_033,7,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,7,16-4,7,F,ok,no,36.5
2018-03-05,ETHOSCOPE_033,8,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,8,2-4,8,F,ok,no,25.5
2018-03-05,ETHOSCOPE_033,9,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,lost,9,12-3,9,T,ok,no,7
2018-03-05,ETHOSCOPE_033,10,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,10,16-4,10,F,ok,no,39.5
2018-03-05,ETHOSCOPE_033,11,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,11,16-4,11,F,ok,no,40.5
2018-03-05,ETHOSCOPE_033,12,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,12,16-4,12,F,ok,no,35.5
2018-03-05,ETHOSCOPE_033,13,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,13,30-4,13,F,ok,no,53
2018-03-05,ETHOSCOPE_033,14,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,14,16-4,14,F,ok,no,37.5
2018-03-05,ETHOSCOPE_033,15,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,15,16-4,15,F,ok,no,36
2018-03-05,ETHOSCOPE_033,16,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,16,16-4,16,F,ok,no,36.5
2018-03-05,ETHOSCOPE_033,17,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,17,2-4,17,F,ok,no,26
2018-03-05,ETHOSCOPE_033,18,CS,female,SD,25C,2018-03-09_21_00_00,4,3,A,ok,18,16-4,18,F,ok,no,37.5
2018-03-05,ETHOSCOPE_033,19,CS,female,mock,25C,2018-03-09_21_00_00,4,3,A,ok,19,16-4,19,F,ok,no,42
